Method='Average'
Novel class=''diaporthe-stem-canker,charcoal-rot''
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR

201,73,22,22,100.000000,90.410959,0.000000,47.058824,41.095890,
156,49,10,10,100.000000,89.795918,0.000000,56.410256,53.061224,
152,53,14,13,92.857143,94.339623,7.142857,53.846154,43.396226,
201,39,16,15,93.750000,87.179487,6.250000,39.130435,33.333333,
178,62,17,17,100.000000,82.258065,0.000000,37.777778,43.548387,
231,77,19,19,100.000000,92.207792,0.000000,50.000000,44.155844,
219,89,16,15,93.750000,85.393258,6.250000,50.684932,55.056180,
214,94,22,21,95.454545,89.361702,4.545455,47.222222,45.744681,
218,90,17,15,88.235294,81.111111,11.764706,50.684932,58.888889,
206,88,19,19,100.000000,88.636364,0.000000,47.826087,47.727273,
197,77,11,9,81.818182,81.818182,18.181818,51.515152,61.038961,
195,79,13,13,100.000000,89.873418,0.000000,43.939394,45.569620,
194,76,10,9,90.000000,76.315789,10.000000,42.424242,59.210526,
194,82,18,18,100.000000,86.585366,0.000000,59.375000,58.536585,

Novel class=''diaporthe-stem-canker,charcoal-rot,phytophthora-rot'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR

249,161,77,75,97.402597,90.683230,2.597403,51.190476,35.403727,
293,186,88,87,98.863636,91.397849,1.136364,59.183673,39.247312,
375,240,115,108,93.913043,90.833333,6.086957,47.200000,33.333333,
393,256,124,119,95.967742,91.796875,4.032258,53.787879,35.546875,
421,228,122,119,97.540984,93.421053,2.459016,56.603774,32.456140,
472,177,124,122,98.387097,94.915254,1.612903,54.716981,20.903955,
496,153,126,122,96.825397,96.078431,3.174603,55.555556,13.071895,
475,140,115,111,96.521739,94.285714,3.478261,24.000000,9.285714,
445,136,112,108,96.428571,94.852941,3.571429,62.500000,15.441176,
465,116,106,103,97.169811,96.551724,2.830189,70.000000,8.620690,
438,109,100,96,96.000000,94.495413,4.000000,55.555556,9.174312,

Novel class=''diaporthe-stem-canker,charcoal-rot,rhizoctonia-root-rot,phytophthora-rot'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR
420,127,118,116,98.305085,97.637795,1.694915,44.444444,4.724409,
519,158,147,145,98.639456,98.101266,1.360544,54.545455,5.063291,
519,158,147,144,97.959184,96.835443,2.040816,27.272727,4.430380,
520,157,146,143,97.945205,97.452229,2.054795,63.636364,6.369427,
519,158,147,144,97.959184,96.835443,2.040816,45.454545,5.696203,
